Building Services Engineering (Online only)	Heriot-Watt University	School of Energy, Geoscience, Infrastructure and Society		Our Building Services Engineering course considers low carbon building design and the integration of renewable energy systems into buildings. It deals with services engineering issues, building the skills required to cope with the challenges in the working environment. As a conversion course, it gives you a good foundation for launching, or accelerating, a career as a Building Services Engineer – or technical sustainability consultant.	September, January	Please see the university website for further information on fees for this course.	MSc,PGDip	See website for further information	Edinburgh	United Kingdom		https://www.findamasters.com/masters-degrees/course/building-services-engineering-online-only/?i106d4397c1287Processing file: course_172.tsv
Building Services Engineering Management MSc	Brunel University London	Mechanical and Automotive Engineering	Part time	Ask BrunelBrunel's Building Services Engineering Management MSc is designed to give professional engineers the technical, business and leadership skills they need to further their careers in the building services engineering sector.Along with exploring the latest technological developments in the core subjects of heat transfer, energy conversion, electrical services, lighting design and health and safety, you’ll get a solid grounding in management essentials such as business operations and strategy, finance and accounting, facilities and contract management, and people management.The course is taught as a distance learning programme over 3 years, which enables you to carry on working while building new skills in your own time and at your own pace.	September	Please see the university website for further information on fees for this course.	MSc	Part time: 3 years (distance learning)	London	United Kingdom		https://www.findamasters.com/masters-degrees/course/building-services-engineering-management-msc/?i28d8301c3034Processing file: course_173.tsv
Building Services Engineering MSc	Brunel University London	Mechanical and Automotive Engineering	Full time	Ask BrunelBuilding services engineers are involved with virtually every aspect of a building’s interior environment. They design, install and maintain electrical and mechanical services - heating, cooling, lighting, water, lifts, and telecoms - and advise on issues of health and safety, security, sustainability and energy efficiency.In short, they help buildings work, whether for residential, educational, commercial, industrial or cultural purposes.Brunel's Building Services Engineering MSc gives graduates with engineering or technology backgrounds the technical, design and management skills they need to excel in this lucrative and multi-faceted profession.	January, September	Please see the university website for further information on fees for this course.	MSc	Full time: 1 year | Part time: 3 years (distance learning)	London	United Kingdom		https://www.findamasters.com/masters-degrees/course/building-services-engineering-msc/?i28d8301c3032Processing file: course_174.tsv
Building Services Engineering with Sustainable Energy MSc	Brunel University London	Mechanical and Automotive Engineering	Part time	Ask BrunelAs concerns over climate change and energy independence grow, the drive towards reducing energy consumption through energy-efficient building is intensifying.Brunel’s Building Services Engineering with Sustainable Energy MSc gives graduates interested in environmentally responsible buildings the knowledge and skills to apply renewable and sustainable energy technologies to the design, construction and operations of interior environments.As with our Building Services Engineering MSc, you'll get a solid grounding in the core subjects of heat transfer, energy conversion, acoustics, electrical services and lighting design, as well as in the practicalities of building management, fire and smoke control, waste disposal and lifts and escalators.	January, September	Please see the university website for further information on fees for this course.	MSc	| Part time: 3 years (distance learning)	London	United Kingdom		https://www.findamasters.com/masters-degrees/course/building-services-engineering-with-sustainable-energy-msc/?i28d8301c4973Processing file: course_1758.tsv
Industrial Engineering and International Management MSc	Fresenius University of Applied Sciences	Masters Opportunities	Full time	YOUR INDUSTRIAL ENGINEERING AND INTERNATIONAL MANAGEMENT MASTER’S PROGRAMDo you have a Bachelor’s degree in engineering or a science subject? Do you want to expand your skills while learning how to live up to the challenges of the Fourth Industrial Revolution at the same time? And do you look forward to a study program that gives you the very tools you need for a future job in the industry of tomorrow? Then the Master’s program Industrial Engineering and International Management (M.Sc.) could just be what you are looking for.	See Course	Please see the university website for further information on fees for this course.	MSc	See Programme Description	Idstein	Germany	On Campus	https://www.findamasters.com/masters-degrees/course/industrial-engineering-and-international-management-msc/?i1289d8734c67223Processing file: course_187.tsv
Electronic and Electrical Engineering - MSc (Eng)	University of Leeds	School of Electronic and Electrical Engineering	Full time	Commercial products today combine many technologies – and industry is increasingly interdisciplinary. Our Electronic and Electrical Engineering MSc meets this demand, giving you an interdisciplinary knowledge base in modern electronics including power, communications, control and embedded	September	UK: £13,500 (Total)International: £31,000 (Total)	MSc	1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/electronic-and-electrical-engineering-msc-eng/?i321d8436c12310Processing file: course_1888.tsv
Electronic and Electrical Engineering MSc	Swansea University	School of Engineering and Applied Sciences	Full time	Electronic and Electrical Engineering Course OverviewThe MScElectronic and Electrical Engineeringcourse enables you to refine specialist skills alongside pioneering research interests within Engineering. Your learning will reflect the modern demands of the electronics industry.Accredited by the Institution of Engineering and Technology (IET), the course gives you the ability to effectively plan and execute an intricate programme of work, and apply specialist knowledge in industry.	September, January	Please visit our website for the Electronic and Electrical Engineering course fee information.	MSc	1 year full-time; 2 years part-time; 3 years part-time	Swansea	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/electronic-and-electrical-engineering-msc/?i231d8819c11260Processing file: course_1889.tsv
Electronic and Electrical Engineering MSc by Research	Swansea University	School of Engineering and Applied Sciences	Full time	As a world-leader in the research areas of power semiconductor technology and devices, power electronics, nanotechnology and biometrics, and advanced numerical modelling of micro and nanoelectronic devices, Swansea University provides an excellent base for your research as a MSc by Research student in Electronic and Electrical Engineering.TheElectronic Systems Design Centre(ESDC) is known for its ground-breaking research into Power IC technology, the key technology for more energy efficient electronics. The Centre is also a world-leader in semiconductor device modelling, FEM and compact modelling.The MSc by Research Electronic and Electrical Engineering has a wide range of subject choice including areas such as:	October, January	Please visit our website for the Electronic and Electrical Engineering research programme fee information.	MSc,Research Only	1 year full-time; 2 years part-time	Swansea	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/electronic-and-electrical-engineering-msc-by-research/?i231d8819c32548Processing file: course_188.tsv
Electronic Engineering with Management MSc	King’s College London	Faculty of Natural and Mathematical Sciences	Full time	Our Electronic Engineering with Management MSc combines the development of advanced electronic engineering skills with a study of modern management techniques and their application to engineering projects. The course will prepare you for a management pathway in a related industry.	September	Please see the university website for further information on fees for this course.	MSc	Full-time: One year	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/electronic-engineering-with-management-msc/?i132d3905c13634Processing file: course_1903.tsv
Electronic Information Engineering (M.Sc. / P.Grad.Dip.)	Trinity College Dublin	School of Engineering	Full time	This is a one year full time or two year part-time postgraduate course designed to provide graduate engineers with specialist understanding of modern computational products and systems. There is no aspect of modern life that is not now altered by information processing engines. Examples include digital assistants (speech recognition and synthesis), automotive (remote sensing and electronic control systems), the economy (quantitative automated trading), entertainment (audiovisual streaming and cinema visual effects), health (medical imaging), science (computational biology/geography/chemistry/photography) and the digital humanities. The principles enabling the design of this new wave of products are embodied in the discipline of Information Engineering. This course allows graduates to specialise in fundamental theory and applications relating to the generation, distribution, analysis and use of information in engineering and science.	September	Please see the university website for further information on fees for this course.	MSc,PGDip	1 year full-time	Dublin	Ireland	On Campus	https://www.findamasters.com/masters-degrees/course/electronic-information-engineering-m-sc-p-grad-dip/?i250d4601c55774Processing file: course_1904.tsv
Engineering (by Research) - MSc	Lancaster University	Engineering Department	Full time	This programme is ideal for students with industrial experience who wish to work in a specific area, and prefer flexibility to the taught MSc programmes.Flexibility is the key to this programme. It begins with an induction where you are allocated a supervisor and often an industry contact; this sets the direction of your research and identifies training needs. The Graduate School’s research training programme offers a range of sessions to meet those needs. Regular supervision and access to seminar groups, together with interim research reports, ensures good progress towards a final dissertation.	See Course	Please see the university website for further information on fees for this course.	MSc	12 months full-time, 24 months part time	Lancaster	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/engineering-by-research-msc/?i136d3875c8954Processing file: course_197.tsv
Built Environment: Environmental Design and Engineering MSc	University College London	Institute for Environmental Design and Engineering	Full time	Register your interest in graduate study at UCLThere is an urgent need for more sustainable, efficient and healthier buildings to mitigate the impacts of climate change and contribute towards achieving net zero carbon targets. UCL's Environmental Design and Engineering MSc teaches a new generation of experts to apply innovative and sustainable approaches for more efficient building design and operation through integrated design and engineering.	September	Full time - £18,000Part time - £9,000	MSc	1 year full time, 2 years part time, 5 years flexible	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/built-environment-environmental-design-and-engineering-msc/?i274d7301c34742Processing file: course_1980.tsv
Engineering (Electronics) MSc	Nottingham Trent University	School of Science & Technology	Full time	Combining computer science, electronic engineering, mechanical engineering and management, the course enables students to develop imaginative and innovative design solutions, enterprise, leadership and interpersonal skills.This Engineering (Electronics) postgraduate degree will furnish graduates with a greater understanding of imaging and display technology and smart mathematical techniques for engineering design and optimisation. The course emphasises the importance of independent learning, problem solving and self-organisation.See website for module	September, January	Please see the university website for further information on fees for this course.	MSc	1 year full time, 2 years part time, 2 years part time with 1 year work placement	Nottingham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/engineering-electronics-msc/?i184d2899c10010Processing file: course_1983.tsv
Engineering (MSc by Research / MRes)	University of Gloucestershire	School of Computing and Engineering	Full time	WHAT IS ENGINEERING?Undertake postgraduate research while drawing on a wide range of expertise from more than 50 academic staff.There’s a strong applied research focus in our School of Computing & Engineering – and particular interests in work that engages with the concerns of the user, the needs of businesses and the rapid developments within the IT industry and engineering sectors.	October, February	Please see the university website for further information on fees for this course.	MSc,Research Only	2 years full time / 3 years part time	Gloucester	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/engineering-msc-by-research-mres/?i308d8484c59431Processing file: course_198.tsv
Engineering Design MSc	Buckinghamshire New University	Postgraduate Programmes	Part time	This MSc in Engineering Design will equip you with skills and knowledge you’ll need to deliver engineering projects efficiently. You’ll gain an advanced critical understanding of theoretical concepts to help you solve problems in existing and emerging technologies.Bringing together both the practical and creative aspects of design You'll learn about how creative techniques, analytical skills and engineering principles are used to solve design	September	Questions about fees?Contact our Enquiries Team:0330 123 2023advice@bnu.ac.uk	MSc	2 years	High Wycombe	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/engineering-design-msc/?i29d5343c70519Processing file: course_199.tsv
Engineering Management	University of Portsmouth	UoP London	Full time	This course is still being set up. For more information please contact the University of Portsmouth.	September, January		MSc	12 months full-time (September intake), 16 months full-time (January intake)	Portsmouth	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/engineering-management/?i343d8925c70529Processing file: course_201.tsv
Engineering Management - MSc	University of the West of England, Bristol	Department of Engineering, Design and Mathematics	Full time	Engineering and the part it has to play in shaping the future is shifting at an unprecedented rate - with global challenges, technology revolution, fast innovation and a range of related issues demanding ever greater skills, awareness and agility from today's industry and business leaders.MSc Engineering Management offers a unique opportunity for those who are eager to equip themselves with the essential capabilities and industry-relevant skills to excel as a future leader in an increasingly globally connected environment.Exceptional interdisciplinary	September, January	Full timeHome Award Fee £9000Home Module Fee (15 Credit) £750Part timeHome Module Fee (15 Credit) £750Offshore Module Fee (15 Credit) £1188	MSc	1 year full-time, 2 years part-time	Bristol	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/engineering-management-msc/?i359d5888c59622Processing file: course_2023.tsv
Engineering Management (MSc)	University of Gloucestershire	School of Computing and Engineering	Full time	This course will equip you with the necessary knowledge and skills for engineering management to advance your career as a leader within a competitive international engineering environment.The modules you will study includeLeading Engineering Teams & Organizations,Financial Management for Engineers,Engineering Management Decisions and Statistics,Operation Research,Supply Chain Management,System IntegrationandSystem and Project Management. You will also complete an advanced research project. The course has been designed to create effective multi-disciplinary engineers who have acquired the necessary creative, technical, management and research skills to work within the broad spectrum of modern industry.	September	Please see the university website for further information on fees for this course.	MSc	See website for details	Gloucester	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/engineering-management-msc/?i308d8484c59433Processing file: course_202.tsv
Engineering Net Zero - MSc	Cardiff University	Cardiff School of Engineering	Full time	Why study this courseThe MSc Engineering Net Zero will provide you with key engineering and science-based knowledge and skills to deliver impactful decarbonisation solutions to tackle climate change in the wider society.The climate change emergency is happening now and we all have a duty to act immediately to mitigate against irreversible damage to our planet and way of life. Reaching net zero by 2050 means that we need innovative knowledge and skills across the engineering and scientific community to transform our high-carbon society to meet this challenge.	September	For tuition fee information, please visit our website:Please see the university website for further information on fees for this course.	MSc	1 year	Cardiff	United Kingdom		https://www.findamasters.com/masters-degrees/course/engineering-net-zero-msc/?i33d4088c71035Processing file: course_204.tsv
Enviromental Engineering - Curriculum in REACH: REsilience to climAte CHange effects	University of Pavia	Masters Programmes	Full time	OverviewThe Master’s Degree inEnvironmental Engineering – Resilience to Climate Change Effects (REACH)is an English-taught 2-year master degree program which aims at training expert professionals capable of operating in a reality where climate changes increasingly impact on the management of water resources, on the safeguard of the environment, and on soil protection. The Application Period for 2024-25 intake is13th November 2023 – 6th June 2024.Apply Now!	September	- EU and non-EU students regularly residing in Italy: 156 - 4000 euro per year, determined by students’ family income.- Non-Eu students with a valid study VISA: flat rate, set on the basis of the Country of citizenship and the field of study. The flat rate ranges from 400 EUR to 4500 EUR per year.	MSc	2 years	Pavia	Italy	On Campus	https://www.findamasters.com/masters-degrees/course/enviromental-engineering-curriculum-in-reach-resilience-to-climate-change-effects/?i1940d8374c68290Processing file: course_2107.tsv
Environmental Engineering (MSc)	Cranfield University	Environment and Agrifood	Full time	Study an Environment MSc at CranfieldDevelop your career as an environmental engineerSuitable for engineering, science and geography graduates, theEnvironmental Engineering MScwill help you develop your career as an environmental engineer. Accredited by CIWEM, CIWM, and IAgrE, this course will equip you with the knowledge and skills required to solvea wide range of environmental engineering challenges, including municipal and toxic waste management and disposal, process emissions, contaminated land and water, waste disposal, and energy and resource recovery. Cranfield offers a unique, postgraduate-only environment, with a teaching team with extensive experience of solving real world environmental challenges.	October	Please see the university website for further information on fees for this course.	MSc,PGDip,PGCert	One year full-time, two-three years part-time	Bedford	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/environmental-engineering-msc/?i50d6726c18858Processing file: course_2157.tsv
Environmental Engineering MSc	University of Strathclyde	Department of Civil & Environmental Engineering	Full time	MSc Environmental Engineering is closely aligned with industry’s demands, this course meets the needs of:urban regenerationland contamination managementenvironmental protectioninfrastructure investment portfolios in Scotland and worldwideA distinctive feature of this course is its topical nature. Glasgow has been undergoing extensive urban regeneration, including building on land that's been contaminated in the past. You’ll have challenging 'real world' issues to study close to the University. From this experience, you'll become able to translate the principles of environmental engineering that you have learned into national and international context.	September, January	Please see the university website for further information on fees for this course.	MSc	12 months full-time; 24 or 36 months part-time 36 months distance learning	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/environmental-engineering-msc/?i353d475c11432Processing file: course_2159.tsv
Fire Engineering Science MSc	University of Edinburgh	School of Engineering	Full time	This one-year MSc in Fire Engineering Science will provide students with a deep understanding of the fundamental physical processes of fire behaviour, and their application in engineering.New technologies and climate change are increasingly introducing new and complex fire hazards into environments that were previously considered low hazard. Our graduates will gain the knowledge of fire science and its engineering application which will allow them to help reduce and control these hazards.	September	Tuition fees vary between degree programmes. Find the specific fees for your chosen programme on our website.	MSc	1 year full-time	Edinburgh	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/fire-engineering-science-msc/?i300d1312c70707Processing file: course_2558.tsv
